9.299999999999999933e-02;3.390230318621695587e-03
8.840000000000000635e-02;3.254621105876827781e-03
8.415000000000000258e-02;3.254621105876827781e-03
7.885000000000000342e-02;2.983402680387092169e-03
7.339999999999999303e-02;2.847793467642223929e-03
6.869999999999999718e-02;2.576575042152488317e-03
6.345000000000000639e-02;2.576575042152488317e-03
5.840000000000000052e-02;2.305356616662752704e-03
5.335000000000000159e-02;2.169747403917884898e-03
4.839999999999999858e-02;2.034138191173017092e-03
